Subject,ROI,Cluster,ACW_s,ACW_grand_mean_s,Condition
sub-004,rostralmiddlefrontal-rh,3,0.01551177536231884,0.02119016249451032,EO
sub-004,superiorfrontal-lh,3,0.020833333333333332,0.02119016249451032,EO
sub-004,superiorfrontal-rh,3,0.05234752415458937,0.02119016249451032,EO
sub-004,superiorparietal-lh,2,0.017625301932367148,0.02119016249451032,EO
sub-004,superiorparietal-rh,2,0.020984299516908212,0.02119016249451032,EO
sub-004,supramarginal-lh,2,0.01570048309178744,0.02119016249451032,EO
sub-004,supramarginal-rh,2,0.020191727053140096,0.02119016249451032,EO
sub-005,bankssts-lh,1,0.06736865942028986,0.04884956906016689,EO
sub-005,bankssts-rh,1,0.0848052536231884,0.04884956906016689,EO
sub-005,caudalmiddlefrontal-lh,3,0.08597524154589371,0.04884956906016689,EO
sub-005,caudalmiddlefrontal-rh,3,0.0899381038647343,0.04884956906016689,EO
sub-005,cuneus-lh,1,0.035816727053140096,0.04884956906016689,EO
sub-005,cuneus-rh,1,0.03147644927536232,0.04884956906016689,EO
sub-005,frontalpole-lh,3,0.04087409420289855,0.04884956906016689,EO
sub-005,frontalpole-rh,3,0.024494263285024156,0.04884956906016689,EO
sub-005,fusiform-lh,1,0.03253321256038647,0.04884956906016689,EO
sub-005,fusiform-rh,1,0.041704408212560384,0.04884956906016689,EO
sub-005,inferiorparietal-lh,2,0.0640096618357488,0.04884956906016689,EO
sub-005,inferiorparietal-rh,2,0.08337107487922706,0.04884956906016689,EO
sub-005,inferiortemporal-lh,1,0.04510114734299517,0.04884956906016689,EO
sub-005,inferiortemporal-rh,1,0.059669384057971016,0.04884956906016689,EO
sub-005,insula-lh,4,0.022644927536231884,0.04884956906016689,EO
sub-005,insula-rh,4,0.02351298309178744,0.04884956906016689,EO
sub-005,lateraloccipital-lh,1,0.03725090579710145,0.04884956906016689,EO
sub-005,lateraloccipital-rh,1,0.033778683574879224,0.04884956906016689,EO
sub-005,lingual-lh,1,0.058499396135265704,0.04884956906016689,EO
sub-005,lingual-rh,1,0.059744867149758456,0.04884956906016689,EO
sub-005,middletemporal-lh,1,0.03793025362318841,0.04884956906016689,EO
sub-005,middletemporal-rh,1,0.03147644927536232,0.04884956906016689,EO
sub-005,parsopercularis-lh,3,0.02332427536231884,0.04884956906016689,EO
sub-005,parsopercularis-rh,3,0.04011926328502415,0.04884956906016689,EO
sub-005,parsorbitalis-lh,3,0.030155495169082124,0.04884956906016689,EO
sub-005,parsorbitalis-rh,3,0.030042270531400968,0.04884956906016689,EO
sub-005,parstriangularis-lh,3,0.025060386473429952,0.04884956906016689,EO
sub-005,parstriangularis-rh,3,0.04740338164251208,0.04884956906016689,EO
sub-005,pericalcarine-lh,1,0.05540458937198068,0.04884956906016689,EO
sub-005,pericalcarine-rh,1,0.05446105072463768,0.04884956906016689,EO
sub-005,posteriorcingulate-lh,2,0.03725090579710145,0.04884956906016689,EO
sub-005,posteriorcingulate-rh,2,0.034156099033816424,0.04884956906016689,EO
sub-005,precentral-lh,3,0.05404589371980676,0.04884956906016689,EO
sub-005,precentral-rh,3,0.043214070048309176,0.04884956906016689,EO
sub-005,precuneus-lh,2,0.036005434782608696,0.04884956906016689,EO
sub-005,precuneus-rh,2,0.05291364734299517,0.04884956906016689,EO
sub-005,rostralmiddlefrontal-lh,3,0.034759963768115944,0.04884956906016689,EO
sub-005,rostralmiddlefrontal-rh,3,0.0474411231884058,0.04884956906016689,EO
sub-005,superiorfrontal-lh,3,0.029400664251207728,0.04884956906016689,EO
sub-005,superiorfrontal-rh,3,0.06314160628019323,0.04884956906016689,EO
sub-005,superiorparietal-lh,2,0.05649909420289855,0.04884956906016689,EO
sub-005,superiorparietal-rh,2,0.06868961352657005,0.04884956906016689,EO
sub-005,supramarginal-lh,2,0.08831521739130435,0.04884956906016689,EO
sub-005,supramarginal-rh,2,0.10560084541062802,0.04884956906016689,EO
sub-006,bankssts-lh,1,0.06485279922779923,0.05562121577746578,EO
sub-006,bankssts-rh,1,0.07040299227799228,0.05562121577746578,EO
sub-006,caudalmiddlefrontal-lh,3,0.1491916023166023,0.05562121577746578,EO
sub-006,caudalmiddlefrontal-rh,3,0.05471766409266409,0.05562121577746578,EO
sub-006,cuneus-lh,1,0.07899975868725868,0.05562121577746578,EO
sub-006,cuneus-rh,1,0.05833735521235521,0.05562121577746578,EO
sub-006,frontalpole-lh,3,0.055984555984555984,0.05562121577746578,EO
sub-006,frontalpole-rh,3,0.048081563706563704,0.05562121577746578,EO
sub-006,fusiform-lh,1,0.06699444980694981,0.05562121577746578,EO
sub-006,fusiform-rh,1,0.041626447876447877,0.05562121577746578,EO
sub-006,inferiorparietal-lh,2,0.07260497104247104,0.05562121577746578,EO
sub-006,inferiorparietal-rh,2,0.06376689189189189,0.05562121577746578,EO
sub-006,inferiortemporal-lh,1,0.04120415057915058,0.05562121577746578,EO
sub-006,inferiortemporal-rh,1,0.032878861003861004,0.05562121577746578,EO
sub-006,insula-lh,4,0.06765805984555985,0.05562121577746578,EO
sub-006,insula-rh,4,0.05420487451737452,0.05562121577746578,EO
sub-006,lateraloccipital-lh,1,0.07287644787644787,0.05562121577746578,EO
sub-006,lateraloccipital-rh,1,0.03363296332046332,0.05562121577746578,EO
sub-006,lingual-lh,1,0.03921332046332046,0.05562121577746578,EO
sub-006,lingual-rh,1,0.0390625,0.05562121577746578,EO
